LogMonth,Namespace,Freq
201903,-1,5177
201903,0,37653
201903,1,200
201903,2,1636
201903,3,604
201903,4,159
201903,5,13
201903,6,7
201903,10,98
201903,11,8
201903,14,5
201903,15,2
201903,100,4
201903,118,313
201903,119,11
201903,828,1
201902,-1,25658
201902,0,197552
201902,1,727
201902,2,8281
201902,3,2086
201902,4,679
201902,5,63
201902,6,65
201902,9,2
201902,10,503
201902,11,1
201902,13,1
201902,14,34
201902,15,6
201902,100,3
201902,101,4
201902,108,1
201902,118,929
201902,119,5
201902,828,4
201902,829,2
201901,-1,28205
201901,0,209201
201901,1,1064
201901,2,8605
201901,3,2588
201901,4,1204
201901,5,45
201901,6,59
201901,7,1
201901,9,2
201901,10,610
201901,14,70
201901,15,1
201901,100,14
201901,101,2
201901,118,973
201901,119,16
201901,828,8
201812,-1,35507
201812,0,175839
201812,1,698
201812,2,9150
201812,3,2440
201812,4,939
201812,5,47
201812,6,120
201812,7,3
201812,9,1
201812,10,570
201812,11,2
201812,12,2
201812,13,3
201812,14,70
201812,100,13
201812,109,1
201812,118,862
201812,119,13
201812,710,1
201812,828,6
201811,-1,35907
201811,0,201710
201811,1,748
201811,2,8064
201811,3,2464
201811,4,3029
201811,5,42
201811,6,111
201811,7,4
201811,8,36
201811,10,172
201811,11,11
201811,12,3
201811,13,1
201811,14,48
201811,15,2
201811,100,13
201811,101,3
201811,118,835
201811,119,21
201811,710,1
201811,828,8
201810,-1,37984
201810,0,203277
201810,1,741
201810,2,8549
201810,3,3662
201810,4,724
201810,5,171
201810,6,114
201810,7,1
201810,9,18
201810,10,61
201810,11,43
201810,12,3
201810,13,2
201810,14,27
201810,15,6
201810,100,20
201810,101,3
201810,108,3
201810,118,991
201810,119,32
201810,828,6
201809,-1,40069
201809,0,176743
201809,1,861
201809,2,8121
201809,3,2437
201809,4,397
201809,5,43
201809,6,62
201809,7,4
201809,9,1
201809,10,118
201809,11,14
201809,13,4
201809,14,46
201809,15,2
201809,100,97
201809,101,2
201809,118,1321
201809,119,11
201809,828,1
201808,-1,41081
201808,0,156429
201808,1,665
201808,2,11927
201808,3,2907
201808,4,769
201808,5,51
201808,6,100
201808,7,4
201808,10,194
201808,11,14
201808,12,3
201808,13,1
201808,14,128
201808,15,4
201808,100,42
201808,101,5
201808,118,1689
201808,119,29
201808,828,1
201808,829,2
201807,-1,38462
201807,0,148955
201807,1,829
201807,2,10947
201807,3,3186
201807,4,739
201807,5,101
201807,6,95
201807,7,18
201807,10,246
201807,11,10
201807,13,10
201807,14,247
201807,15,14
201807,100,11
201807,101,2
201807,108,2
201807,118,1576
201807,119,22
201807,828,5
201806,-1,33561
201806,0,160224
201806,1,721
201806,2,8830
201806,3,2999
201806,4,729
201806,5,118
201806,6,73
201806,7,2
201806,10,151
201806,11,24
201806,12,8
201806,13,3
201806,14,416
201806,15,2
201806,100,38
201806,101,1
201806,118,1457
201806,119,17
201805,-1,33542
201805,0,192717
201805,1,620
201805,2,7172
201805,3,2402
201805,4,385
201805,5,38
201805,6,68
201805,10,141
201805,11,6
201805,12,6
201805,13,1
201805,14,24
201805,15,4
201805,100,39
201805,101,1
201805,118,1049
201805,119,18
201805,828,2
201804,-1,25387
201804,0,203923
201804,1,871
201804,2,7986
201804,3,3360
201804,4,432
201804,5,65
201804,6,60
201804,7,1
201804,10,82
201804,11,2
201804,12,1
201804,14,72
201804,15,4
201804,100,10
201804,101,11
201804,118,568
201804,119,20
201804,710,1
201804,828,1
201803,-1,21749
201803,0,216190
201803,1,1235
201803,2,9096
201803,3,3580
201803,4,1696
201803,5,46
201803,6,740
201803,7,2
201803,9,1
201803,10,164
201803,11,9
201803,12,2
201803,13,6
201803,14,55
201803,15,7
201803,100,66
201803,101,4
201803,108,1
201803,118,762
201803,119,18
201803,828,2
201802,-1,16599
201802,0,185758
201802,1,926
201802,2,6907
201802,3,2103
201802,4,408
201802,5,44
201802,6,43
201802,7,1
201802,10,59
201802,11,1
201802,12,2
201802,13,2
201802,14,42
201802,15,5
201802,100,9
201802,109,2
201802,118,626
201802,119,10
201802,828,1
201801,-1,28168
201801,0,194583
201801,1,957
201801,2,7713
201801,3,2912
201801,4,381
201801,5,54
201801,6,64
201801,7,2
201801,9,11
201801,10,88
201801,11,6
201801,12,1
201801,13,1
201801,14,39
201801,15,8
201801,100,10
201801,109,1
201801,118,688
201801,119,16
201801,828,2
201712,-1,17353
201712,0,184035
201712,1,751
201712,2,7262
201712,3,2637
201712,4,372
201712,5,73
201712,6,53
201712,7,1
201712,9,1
201712,10,41
201712,11,4
201712,13,12
201712,14,41
201712,15,7
201712,100,10
201712,101,3
201712,118,673
201712,119,28
201712,710,1
201712,828,1
201711,-1,19531
201711,0,218200
201711,1,1360
201711,2,9254
201711,3,3329
201711,4,1269
201711,5,125
201711,6,185
201711,7,5
201711,10,234
201711,11,32
201711,13,2
201711,14,141
201711,15,16
201711,100,24
201711,101,6
201711,108,1
201711,109,4
201711,118,924
201711,119,25
201711,710,1
201711,828,3
201710,-1,16319
201710,0,195532
201710,1,963
201710,2,7326
201710,3,2287
201710,4,536
201710,5,87
201710,6,64
201710,7,8
201710,10,81
201710,11,9
201710,12,4
201710,13,2
201710,14,131
201710,15,7
201710,100,17
201710,101,2
201710,109,1
201710,118,836
201710,119,32
201709,-1,15681
201709,0,184323
201709,1,943
201709,2,6971
201709,3,3014
201709,4,701
201709,5,67
201709,6,55
201709,7,8
201709,10,132
201709,11,20
201709,12,2
201709,14,71
201709,15,20
201709,100,20
201709,101,3
201709,108,2
201709,109,7
201709,118,743
201709,119,7
201708,-1,15165
201708,0,167985
201708,1,836
201708,2,7157
201708,3,2792
201708,4,752
201708,5,82
201708,6,62
201708,10,179
201708,11,38
201708,12,1
201708,14,66
201708,15,6
201708,100,14
201708,101,3
201708,109,4
201708,118,449
201708,119,2
201707,-1,15231
201707,0,150939
201707,1,607
201707,2,6240
201707,3,2561
201707,4,504
201707,5,96
201707,6,49
201707,7,4
201707,9,1
201707,10,89
201707,11,3
201707,12,2
201707,13,2
201707,14,22
201707,15,1
201707,100,4
201707,101,1
201707,118,414
201707,119,8
201706,-1,13255
201706,0,160759
201706,1,800
201706,2,6438
201706,3,2085
201706,4,474
201706,5,54
201706,6,48
201706,7,1
201706,10,58
201706,11,20
201706,12,2
201706,14,15
201706,15,1
201706,100,6
201706,108,1
201706,118,375
201706,119,14
201705,-1,13999
201705,0,206430
201705,1,837
